date,pm10,temp,dew point,humidity,air pres.,wind direction,wind strength
2012-01-01 01:00,"92,7",-2,-3,93,"1013,2",6,"3,7"
2012-01-01 02:00,"69,6",-1,-2,93,"1013,2",5,"5,6"
2012-01-01 03:00,"23,6",-1,-3,86,"1013,2",5,"5,6"
2012-01-01 04:00,"6,9",-2,-4,86,"1013,2",5,"5,6"
2012-01-01 05:00,"11,6",-1,-3,86,"1013,2",4,"5,6"
2012-01-01 06:00,"18,5",-2,-4,86,"1012,2",4,"5,6"
2012-01-01 07:00,"7,2",-2,-4,86,"1012,2",4,"7,4"
2012-01-01 08:00,"20,4",-2,-4,86,"1012,2",4,"9,3"
2012-01-01 09:00,"17,3",-1,-3,86,"1012,2",4,"9,3"
2012-01-01 10:00,"22,2",0,-2,87,"1011,2",4,13
2012-01-01 11:00,19,1,-2,81,"1011,2",4,"11,1"
2012-01-01 12:00,"14,8",1,-1,87,"1010,2",4,13
2012-01-01 13:00,"21,8",2,-2,75,"1009,1",4,13
2012-01-01 14:00,"12,4",1,-1,87,"1008,1",4,13
2012-01-01 15:00,"18,7",1,0,93,"1008,1",4,"9,3"
2012-01-01 16:00,17,1,0,93,"1007,1",4,"9,3"
2012-01-01 17:00,"20,5",1,0,93,"1007,1",4,"9,3"
2012-01-01 18:00,"17,4",1,0,93,"1007,1",4,"9,3"
2012-01-01 19:00,"17,2",2,1,93,"1007,1",5,"7,4"
2012-01-01 20:00,13,2,1,93,"1007,1",6,"9,3"
2012-01-01 21:00,"16,5",2,2,100,"1007,1",6,"7,4"
2012-01-01 22:00,"9,5",3,2,93,"1007,1",6,"9,3"
2012-01-01 23:00,"7,5",3,3,100,"1007,1",6,"9,3"
2012-01-02 00:00,"6,1",-2,-3,93,"1013,2",6,"3,7"
2012-01-02 01:00,"4,5",4,3,93,"1006,1",5,"3,7"
2012-01-02 02:00,"13,4",4,4,100,"1006,1",5,"7,4"
2012-01-02 03:00,"13,1",4,4,100,"1005,1",4,"1,9"
2012-01-02 04:00,7,4,4,100,"1004,1",4,"7,4"
2012-01-02 05:00,"3,7",5,5,100,1002,4,13
2012-01-02 06:00,"9,5",6,6,100,1001,4,"14,8"
2012-01-02 07:00,"5,1",8,7,93,1001,5,"18,5"
2012-01-02 08:00,"4,3",9,8,93,1001,5,"16,7"
2012-01-02 09:00,"5,4",9,8,93,1001,5,"22,2"
2012-01-02 10:00,"12,2",9,8,93,1001,5,"18,5"
2012-01-02 11:00,"6,5",10,9,94,1001,5,"16,7"
2012-01-02 12:00,6,10,9,94,1001,6,"14,8"
2012-01-02 13:00,7,9,8,93,1002,7,"14,8"
2012-01-02 14:00,"3,6",9,7,87,1002,6,"11,1"
2012-01-02 15:00,12,8,6,87,1003,7,"16,7"
2012-01-02 16:00,"6,2",8,6,87,1003,7,"18,5"
2012-01-02 17:00,"11,3",7,6,93,1003,6,"11,1"
2012-01-02 18:00,"10,9",7,5,87,"1004,1",6,"11,1"
2012-01-02 19:00,"25,5",7,5,87,"1004,1",6,"7,4"
2012-01-02 20:00,"18,1",6,5,93,"1005,1",6,"7,4"
2012-01-02 21:00,35,6,5,93,"1006,1",6,"9,3"
2012-01-02 22:00,"20,9",6,5,93,"1007,1",6,"9,3"
2012-01-02 23:00,"14,5",6,5,93,"1007,1",6,"16,7"
2012-01-03 00:00,"19,5",4,3,93,"1007,1",6,"9,3"
2012-01-03 01:00,"48,7",6,4,87,"1009,1",6,13
2012-01-03 02:00,"15,6",5,3,87,"1010,2",6,"11,1"
2012-01-03 03:00,"10,7",5,3,87,"1010,2",6,"11,1"
2012-01-03 04:00,"8,2",5,3,87,"1011,2",6,"14,8"
2012-01-03 05:00,"7,8",5,2,81,"1011,2",6,"14,8"
2012-01-03 06:00,"9,8",5,2,81,"1011,2",6,"18,5"
2012-01-03 07:00,"8,8",4,2,87,"1012,2",6,"16,7"
2012-01-03 08:00,"9,2",4,1,81,"1013,2",6,"14,8"
2012-01-03 09:00,"8,4",4,1,81,"1013,2",6,13
2012-01-03 10:00,10,4,1,81,"1013,2",6,"11,1"
2012-01-03 11:00,8,4,0,75,"1013,2",6,"20,4"
2012-01-03 12:00,"12,9",4,0,75,"1012,2",6,"20,4"
2012-01-03 13:00,"6,4",4,1,81,"1011,2",5,"16,7"
2012-01-03 14:00,"7,4",4,1,81,"1010,2",5,"18,5"
2012-01-03 15:00,3,4,1,81,"1009,1",5,"18,5"
2012-01-03 16:00,"5,5",4,1,81,"1008,1",4,"18,5"
2012-01-03 17:00,12,4,1,81,"1006,1",5,"24,1"
2012-01-03 18:00,"5,8",4,0,75,"1004,1",4,"18,5"
2012-01-03 19:00,"5,9",5,0,70,1002,4,"22,2"
2012-01-03 20:00,"6,3",4,1,81,1001,5,"25,9"
2012-01-03 21:00,"2,4",3,1,87,999,5,"27,8"
2012-01-03 22:00,"1,7",4,2,87,997,5,"25,9"
2012-01-03 23:00,"6,1",4,2,87,"996,3",5,"31,5"
2012-01-04 00:00,6,6,4,87,"1008,1",6,"14,8"
2012-01-04 01:00,"12,3",6,3,81,"995,3",5,"25,9"
2012-01-04 02:00,"5,3",6,3,81,"995,3",6,"27,8"
2012-01-04 03:00,"5,5",6,3,81,"995,3",6,"20,4"
2012-01-04 04:00,"5,9",6,2,76,"995,3",6,"20,4"
2012-01-04 05:00,"2,9",6,2,76,"995,3",6,"24,1"
